	test_statistic	p	-log2(p)	FDR_corrected_p
FBXW7_mutation_status	1.2441601559515278e-05	0.9971856551908815	0.004065965501420575	0.9999976776816369
FCGBP_mutation_status	0.0012863404715732969	0.9713895342347793	0.04187815205972021	0.9999976776816369
FCRL3_mutation_status	0.00029710026447196826	0.9862478666067689	0.01997782051073505	0.9999976776816369
FER1L6_mutation_status	4.845268033221123e-05	0.9944461332263075	0.008034869059122011	0.9999976776816369
FHOD3_mutation_status	1.4164372390935842e-05	0.9969971218885048	0.004338755001277891	0.9999976776816369
FIGN_mutation_status	0.00010402119480601289	0.991862454101362	0.011788025227098554	0.9999976776816369
FILIP1_mutation_status	0.00040549109266395627	0.9839342364401819	0.02336620201817848	0.9999976776816369
FLG2_mutation_status	0.0003106263036520573	0.985938336774473	0.020430675476418855	0.9999976776816369
FLG_mutation_status	3.709311598075991e-06	0.9984633093396974	0.0022186811452346022	0.9999976776816369
FLNA_mutation_status	2.379458672835165e-05	0.9961079588594642	0.005625983848397828	0.9999976776816369
FLNB_mutation_status	0.000943425586408125	0.9754966420919655	0.035791188168495844	0.9999976776816369
FLNC_mutation_status	0.0012114696073984622	0.9722342990925623	0.04062406356081856	0.9999976776816369
FLRT2_mutation_status	7.706640905506692e-05	0.9929956628101984	0.010140678499154602	0.9999976776816369
FLT4_mutation_status	5.937718852458392e-08	0.9998055760007247	0.0002805218105541272	0.9999976776816369
FMN2_mutation_status	0.00044947747786382874	0.983085409196797	0.024611333385659337	0.9999976776816369
FN1_mutation_status	8.498691803646577e-06	0.9976739690642034	0.0033596621516069065	0.9999976776816369
FOCAD_mutation_status	1.616034261591524e-05	0.9967925183993407	0.0046348548848735745	0.9999976776816369
FRAS1_mutation_status	4.2167658282375846e-05	0.9948188430159131	0.007494260766241537	0.9999976776816369
FREM1_mutation_status	3.5933368859254463e-05	0.995217153660921	0.00691674277066818	0.9999976776816369
FREM2_mutation_status	2.162313977449909e-05	0.9962897952748853	0.005362648382409745	0.9999976776816369
FRYL_mutation_status	4.089084616096292e-06	0.9983865600199356	0.002329581683893449	0.9999976776816369
