	test_statistic	p	-log2(p)	FDR_corrected_p
SETD1A_mutation_status	11.7173090919934	0.0006192142854965408	10.657273624189092	0.04231856239056503
SETX_mutation_status	0.01131506353327509	0.9152869797341677	0.12770393692695908	0.999934250474592
SFMBT2_mutation_status	0.12332700709719578	0.7254537250110222	0.4630445037880706	0.999934250474592
SHANK1_mutation_status	0.10305550193414556	0.7481932734553455	0.41851709932238446	0.999934250474592
SHANK2_mutation_status	0.2247107896062495	0.6354737390838721	0.6540955877157981	0.999934250474592
SIGLEC1_mutation_status	0.2867812013853153	0.5922906342534469	0.7556228215569769	0.999934250474592
SIPA1L1_mutation_status	0.6711459991538675	0.41265234472138523	1.2770012569880205	0.999934250474592
SIPA1L2_mutation_status	0.13261140003267283	0.7157396680602806	0.4824931552942826	0.999934250474592
SIPA1L3_mutation_status	0.2697815027949519	0.6034783797044989	0.7286260091627914	0.999934250474592
SI_mutation_status	0.006370414177959027	0.9363844939943368	0.09482705046594402	0.999934250474592
SLC12A5_mutation_status	0.06591846010064133	0.7973749314127264	0.3266698455780159	0.999934250474592
SLC12A7_mutation_status	0.6096594860122964	0.4349160484804747	1.2011911493964564	0.999934250474592
SLC32A1_mutation_status	0.24834540759339432	0.618242543892549	0.6937551593083136	0.999934250474592
SLC45A4_mutation_status	0.02658087686636542	0.8704897529550113	0.2001007797197745	0.999934250474592
SLC9C2_mutation_status	0.18122948072450545	0.6703187664494683	0.5770807703451105	0.999934250474592
SLCO6A1_mutation_status	0.021984302731950334	0.8821288656421287	0.18093866785447074	0.999934250474592
SLIT2_mutation_status	0.5444611047894446	0.46058975770301047	1.118445765118671	0.999934250474592
SLITRK1_mutation_status	0.30193912597068673	0.5826693090934004	0.77925077319277	0.999934250474592
SLITRK2_mutation_status	0.0057426871415863796	0.9395937147085628	0.08989103222809518	0.999934250474592
SLITRK5_mutation_status	0.6757301824374661	0.4110609094350117	1.2825759121017772	0.999934250474592
SLX4_mutation_status	0.00485404776744029	0.9444555270275165	0.08244523098674252	0.999934250474592
SMAD4_mutation_status	0.00043041131076033273	0.9834479897737266	0.02407933814320858	0.999934250474592
SMARCA2_mutation_status	0.09671861202442554	0.7558035402662464	0.40391681853268047	0.999934250474592
SMARCA4_mutation_status	0.0036184114255568517	0.9520335929804264	0.07091561424152365	0.999934250474592
SMG1_mutation_status	0.3511320589602067	0.5534729974890988	0.8534151615098822	0.999934250474592
SNRPN_mutation_status	1.2000556337367416	0.27331055918525915	1.871386896314448	0.999934250474592
SOGA2_mutation_status	0.02037445632192602	0.8864962199060573	0.17381361552246477	0.999934250474592
SOGA3_mutation_status	0.06143465774724943	0.8042426077090039	0.31429732465041066	0.999934250474592
